State,2020-03-12,2020-03-13,2020-03-14
Baden-Württemberg,1,1,2
Bayen,1,1,1
Berlin,0,0,0
Brandenburg,0,0,0
Bremen,0,0,0
Hamburg,0,0,0
Hessen,0,0,0
Mecklenburg-Vorpommern,0,0,0
Niedersachsen,0,0,0
Nordrhein-Westfalen,3,3,5
Rheinland-Pfalz,0,0,0
Saarland,0,0,0
Sachsen,0,0,0
Sachsen-Anhalt,0,0,0
Schleswig-Holstein,0,0,0
Thüringen,0,0,0
