State,Confirmed,Deaths
"Baden-Württemberg",12334,165
Bayern,14810,162
Berlin,2575,13
Brandenburg,798,2
Bremen,294,4
Hamburg,2191,9
Hessen,3283,17
"Mecklenburg-Vorpommern",366,1
Niedersachsen,4063,34
"Nordrhein-Westfalen",13225,117
"Rheinland-Pfalz",2726,19
Saarland,782,7
Sachsen,1882,12
"Sachsen-Anhalt",680,6
"Schleswig-Holstein",1120,9
"Thüringen",784,6
