State,Confirmed,Deaths
"Baden-Württemberg",25040,711
"Bayern",33569,872
"Berlin",4668,56
"Brandenburg",1916,40
"Bremen",492,20
"Hamburg",3808,59
"Hessen",6183,147
"Mecklenburg-Vorpommern",619,11
"Niedersachsen",7885,211
"Nordrhein-Westfalen",25300,545
"Rheinland-Pfalz",4880,70
"Saarland",2112,52
"Sachsen",3751,70
"Sachsen-Anhalt",1207,25
"Schleswig-Holstein",2164,49
"Thüringen",1504,31
