State,Confirmed,Deaths
"Baden-Württemberg",73,0
Bayen,70,0
Berlin,13,0
Brandenburg,1,0
Bremen,3,0
Hamburg,5,0
Hessen,14,0
"Mecklenburg-Vorpommern",4,0
"Niedersachsen",18,0
"Nordrhein-Westfalen",181,0
"Rheinland-Pfalz",8,0
Saarland,1,0
Sachsen,1,0
"Sachsen-Anhalt",0,0
"Schleswig-Holstein",7,0
"Thüringen",1,0
