State,Confirmed,Deaths
"Baden-Württemberg",30761,1237
"Bayern",40912,1596
"Berlin",5600,123
"Brandenburg",2694,100
"Bremen",739,27
"Hamburg",4429,140
"Hessen",7946,315
"Mecklenburg-Vorpommern",673,16
"Niedersachsen",9785,384
"Nordrhein-Westfalen",31669,1096
"Rheinland-Pfalz",5835,147
"Saarland",2482,107
"Sachsen",4428,147
"Sachsen-Anhalt",1494,36
"Schleswig-Holstein",2630,96
"Thüringen",2098,73
