State,Confirmed,Deaths
"Baden-Württemberg",31196,1269
"Bayern",41406,1681
"Berlin",5669,127
"Brandenburg",2747,106
"Bremen",759,27
"Hamburg",4505,142
"Hessen",8026,333
"Mecklenburg-Vorpommern",675,17
"Niedersachsen",9926,394
"Nordrhein-Westfalen",32184,1171
"Rheinland-Pfalz",5928,157
"Saarland",2509,123
"Sachsen",4490,148
"Sachsen-Anhalt",1520,39
"Schleswig-Holstein",2653,101
"Thüringen",2144,78
