State,Confirmed,Deaths
"Baden-Württemberg",20680,464
"Bayern",27564,564
"Berlin",4028,32
"Brandenburg",1472,22
"Bremen",424,10
"Hamburg",3165,23
"Hessen",4965,84
"Mecklenburg-Vorpommern",555,11
"Niedersachsen",6385,121
"Nordrhein-Westfalen",20929,348
"Rheinland-Pfalz",4148,45
"Saarland",1637,23
"Sachsen",3144,50
"Sachsen-Anhalt",1020,16
"Schleswig-Holstein",1827,28
"Thüringen",1285,20
