State,Confirmed,Deaths
"Baden-Württemberg",32291,1412
"Bayern",42792,1910
"Berlin",5976,154
"Brandenburg",2905,122
"Bremen",875,30
"Hamburg",4631,164
"Hessen",8524,370
"Mecklenburg-Vorpommern",698,18
"Niedersachsen",10283,453
"Nordrhein-Westfalen",33428,1287
"Rheinland-Pfalz",6133,176
"Saarland",2605,138
"Sachsen",4696,165
"Sachsen-Anhalt",1576,44
"Schleswig-Holstein",2738,113
"Thüringen",2345,93
