State,Confirmed,Deaths
"Baden-Württemberg",32146,1402
"Bayern",42658,1885
"Berlin",5943,152
"Brandenburg",2886,122
"Bremen",871,30
"Hamburg",4609,163
"Hessen",8486,364
"Mecklenburg-Vorpommern",695,18
"Niedersachsen",10246,451
"Nordrhein-Westfalen",33216,1268
"Rheinland-Pfalz",6099,173
"Saarland",2597,135
"Sachsen",4617,163
"Sachsen-Anhalt",1571,44
"Schleswig-Holstein",2728,112
"Thüringen",2335,93
