State,Confirmed,Deaths
"Baden-Württemberg",32898,1515
"Bayern",43905,2114
"Berlin",6209,163
"Brandenburg",3037,131
"Bremen",997,32
"Hamburg",4753,201
"Hessen",8850,403
"Mecklenburg-Vorpommern",718,19
"Niedersachsen",10686,493
"Nordrhein-Westfalen",34522,1397
"Rheinland-Pfalz",6241,192
"Saarland",2658,140
"Sachsen",4839,184
"Sachsen-Anhalt",1615,48
"Schleswig-Holstein",2860,122
"Thüringen",2512,112
