State,Confirmed,Deaths
"Baden-Württemberg",24078,649
"Bayern",32282,786
"Berlin",4567,50
"Brandenburg",1857,38
"Bremen",480,15
"Hamburg",3742,56
"Hessen",5859,123
"Mecklenburg-Vorpommern",605,11
"Niedersachsen",7602,189
"Nordrhein-Westfalen",24267,495
"Rheinland-Pfalz",4734,64
"Saarland",2058,43
"Sachsen",3600,67
"Sachsen-Anhalt",1166,21
"Schleswig-Holstein",2118,41
"Thüringen",1464,25
