State,Confirmed,Deaths
"Baden-Württemberg",27258,919
"Bayern",36881,1198
"Berlin",5066,91
"Brandenburg",2161,62
"Bremen",567,24
"Hamburg",4118,90
"Hessen",6916,212
"Mecklenburg-Vorpommern",645,14
"Niedersachsen",8649,281
"Nordrhein-Westfalen",28006,791
"Rheinland-Pfalz",5324,99
"Saarland",2289,86
"Sachsen",4140,103
"Sachsen-Anhalt",1315,29
"Schleswig-Holstein",2387,61
"Thüringen",1717,50
