State,Confirmed,Deaths
"Baden-Württemberg",50,0
Bayen,48,0
Berlin,7,0
Brandenburg,1,0
Bremen,3,0
Hamburg,3,0
Hessen,12,0
"Mecklenburg-Vorpommern",4,0
"Niedersachsen",7,0
"Nordrhein-Westfalen",115,0
"Rheinland-Pfalz",7,0
Saarland,1,0
Sachsen,1,0
"Sachsen-Anhalt",0,0
"Schleswig-Holstein",2,0
"Thüringen",1,0
