State,Confirmed,Deaths
"Baden-Württemberg",32482,1452
"Bayern",43162,1949
"Berlin",6042,154
"Brandenburg",2940,123
"Bremen",895,31
"Hamburg",4644,172
"Hessen",8585,381
"Mecklenburg-Vorpommern",703,19
"Niedersachsen",10380,463
"Nordrhein-Westfalen",33728,1332
"Rheinland-Pfalz",6160,182
"Saarland",2618,139
"Sachsen",4745,171
"Sachsen-Anhalt",1585,46
"Schleswig-Holstein",2799,118
"Thüringen",2392,99
