State,Confirmed,Deaths
"Baden-Württemberg",26543,872
"Bayern",36027,1137
"Berlin",4945,84
"Brandenburg",2120,60
"Bremen",556,22
"Hamburg",4005,84
"Hessen",6705,197
"Mecklenburg-Vorpommern",634,13
"Niedersachsen",8442,274
"Nordrhein-Westfalen",27030,726
"Rheinland-Pfalz",5211,92
"Saarland",2254,76
"Sachsen",4048,95
"Sachsen-Anhalt",1279,28
"Schleswig-Holstein",2349,59
"Thüringen",1682,49
