State,Confirmed,Deaths
"Baden-Württemberg",1479,2
Bayen,1109,4
Berlin,345,0
Brandenburg,73,0
Bremen,57,0
Hamburg,310,0
Hessen,373,0
"Mecklenburg-Vorpommern",45,0
"Niedersachsen",325,0
"Nordrhein-Westfalen",2105,6
"Rheinland-Pfalz",442,0
Saarland,75,0
Sachsen,182,0
"Sachsen-Anhalt",58,0
"Schleswig-Holstein",127,0
"Thüringen",51,0
