State,Confirmed,Deaths
"Baden-Württemberg",23617,622
"Bayern",31453,747
"Berlin",4458,46
"Brandenburg",1764,37
"Bremen",469,15
"Hamburg",3663,56
"Hessen",5808,120
"Mecklenburg-Vorpommern",601,11
"Niedersachsen",7343,171
"Nordrhein-Westfalen",23644,472
"Rheinland-Pfalz",4622,59
"Saarland",2016,41
"Sachsen",3565,65
"Sachsen-Anhalt",1135,18
"Schleswig-Holstein",2065,39
"Thüringen",1435,25
