State,Confirmed,Deaths
"Baden-Württemberg",28898,1063
"Bayern",38814,1424
"Berlin",5312,105
"Brandenburg",2389,74
"Bremen",624,26
"Hamburg",4204,91
"Hessen",7380,265
"Mecklenburg-Vorpommern",656,15
"Niedersachsen",9236,328
"Nordrhein-Westfalen",30185,964
"Rheinland-Pfalz",5593,122
"Saarland",2367,97
"Sachsen",4273,122
"Sachsen-Anhalt",1395,33
"Schleswig-Holstein",2496,79
"Thüringen",1872,71
