State,Confirmed,Deaths
"Baden-Württemberg",827,3
Bayen,886,4
Berlin,265,0
Brandenburg,84,0
Bremen,53,0
Hamburg,162,0
Hessen,286,0
"Mecklenburg-Vorpommern",80,0
"Niedersachsen",287,0
"Nordrhein-Westfalen",1407,5
"Rheinland-Pfalz",168,0
Saarland,32,0
Sachsen,130,0
"Sachsen-Anhalt",47,0
"Schleswig-Holstein",103,0
"Thüringen",51,0
