State,Confirmed,Deaths
"Baden-Württemberg",5348,30
Bayern,5754,30
Berlin,1220,1
Brandenburg,343,0
Bremen,183,0
Hamburg,1043,0
Hessen,1620,4
"Mecklenburg-Vorpommern",199,0
Niedersachsen,1764,6
"Nordrhein-Westfalen",6318,33
"Rheinland-Pfalz",1370,5
Saarland,337,1
Sachsen,811,1
"Sachsen-Anhalt",321,0
"Schleswig-Holstein",478,2
"Thüringen",327,1
