State,Confirmed,Deaths
"Baden-Württemberg",31919,1385
"Bayern",42489,1850
"Berlin",5887,149
"Brandenburg",2872,120
"Bremen",859,30
"Hamburg",4604,163
"Hessen",8376,360
"Mecklenburg-Vorpommern",693,18
"Niedersachsen",10141,429
"Nordrhein-Westfalen",33058,1261
"Rheinland-Pfalz",6086,172
"Saarland",2581,135
"Sachsen",4592,162
"Sachsen-Anhalt",1564,44
"Schleswig-Holstein",2714,110
"Thüringen",2323,93
